Time,F1,F2,F1 + F2
0,0,1,2
0.0001,0.248689887164855,0.951056516295153,1.90211303259031
0.0002,0.481753674101715,0.809016994374947,1.6180339887499
0.0003,0.684547105928689,0.587785252292473,1.17557050458495
0.0004,0.844327925502015,0.309016994374947,0.618033988749895
0.0005,0.951056516295153,6.12323399573677E-17,1.22464679914735E-16
0.0006,0.998026728428271,-0.309016994374947,-0.618033988749895
0.0007,0.982287250728689,-0.587785252292473,-1.17557050458495
0.0008,0.904827052466019,-0.809016994374948,-1.6180339887499
0.0009,0.770513242775789,-0.951056516295154,-1.90211303259031
0.001,0.587785252292473,-1,-2
0.0011,0.368124552684677,-0.951056516295153,-1.90211303259031
0.0012,0.125333233564303,-0.809016994374947,-1.61803398874989
0.0013,-0.125333233564305,-0.587785252292473,-1.17557050458495
0.0014,-0.368124552684679,-0.309016994374947,-0.618033988749893
0.0015,-0.587785252292474,7.04481399828022E-16,1.40896279965604E-15
0.0016,-0.77051324277579,0.309016994374948,0.618033988749896
0.0017,-0.90482705246602,0.587785252292474,1.17557050458495
0.0018,-0.982287250728689,0.809016994374948,1.6180339887499
0.0019,-0.998026728428271,0.951056516295154,1.90211303259031
0.002,-0.951056516295153,1,2
0.0021,-0.844327925502014,0.951056516295153,1.90211303259031
0.0022,-0.684547105928688,0.809016994374947,1.6180339887499
0.0023,-0.481753674101715,0.587785252292474,1.17557050458495
0.0024,-0.248689887164855,0.309016994374949,0.618033988749897
0.0025,-1.1331077795296E-15,2.08251853918709E-15,4.16503707837418E-15
0.0026,0.248689887164853,-0.309016994374945,-0.618033988749891
0.0027,0.481753674101713,-0.58778525229247,-1.17557050458494
0.0028,0.684547105928687,-0.809016994374945,-1.61803398874989
0.0029,0.844327925502014,-0.951056516295152,-1.9021130325903
0.003,0.951056516295153,-1,-2
0.0031,0.998026728428271,-0.951056516295155,-1.90211303259031
0.0032,0.982287250728689,-0.809016994374951,-1.6180339887499
0.0033,0.904827052466021,-0.587785252292478,-1.17557050458496
0.0034,0.770513242775792,-0.309016994374955,-0.618033988749909
