200-01.csv,200-05.csv,200-10.csv,200-20.csv,350-01.csv,350-05.csv,350-10.csv,350-20.csv,400-01.csv,400-05.csv,400-10.csv,400-20.csv,500-01.csv,500-05.csv,500-10.csv,500-20.csv
o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample,o_sample
-.0078125,-.03515625,-.0703125,-.140625,.00390625,.0234375,.046875,.08984375,-.00390625,-.02734375,-.0546875,-.11328125,.0078125,.04296875,.08203125,.16796875
-.0078125,-.0390625,-.07421875,-.1484375,.0078125,.03515625,.07421875,.14453125,-.00390625,-.01953125,-.0390625,-.078125,.0078125,.046875,.09375,.1875
-.0078125,-.0390625,-.07421875,-.1484375,.01171875,.05078125,.09765625,.19921875,0,-.0078125,-.015625,-.03125,.01171875,.05078125,.09765625,.1953125
-.0078125,-.03515625,-.07421875,-.14453125,.01171875,.0625,.125,.24609375,0,.0078125,.01171875,.02734375,.0078125,.046875,.09765625,.19140625
-.0078125,-.03515625,-.06640625,-.1328125,.015625,.07421875,.14453125,.2890625,.00390625,.0234375,.046875,.08984375,.0078125,.04296875,.08984375,.17578125
-.00390625,-.02734375,-.05859375,-.11328125,.015625,.08203125,.16015625,.3203125,.0078125,.0390625,.078125,.16015625,.0078125,.03515625,.07421875,.14453125
-.00390625,-.0234375,-.04296875,-.08984375,.015625,.0859375,.16796875,.3359375,.01171875,.05859375,.11328125,.2265625,.00390625,.0234375,.05078125,.1015625
-.00390625,-.015625,-.02734375,-.0546875,.015625,.08203125,.16796875,.3359375,.015625,.07421875,.14453125,.29296875,.00390625,.01171875,.0234375,.046875
0,-.00390625,-.0078125,-.015625,.015625,.078125,.15625,.3125,.015625,.0859375,.171875,.34765625,0,-.00390625,-.0078125,-.015625
0,.0078125,.01171875,.02734375,.01171875,.06640625,.1328125,.265625,.01953125,.09765625,.1953125,.390625,-.00390625,-.01953125,-.0390625,-.08203125
.00390625,.01953125,.03515625,.0703125,.01171875,.05078125,.1015625,.203125,.01953125,.10546875,.20703125,.4140625,-.0078125,-.03515625,-.07421875,-.1484375
.0078125,.03125,.05859375,.1171875,.00390625,.02734375,.05859375,.1171875,.01953125,.10546875,.20703125,.41796875,-.01171875,-.05078125,-.10546875,-.2109375
.0078125,.0390625,.08203125,.1640625,0,.00390625,.0078125,.015625,.01953125,.09765625,.1953125,.39453125,-.01171875,-.06640625,-.12890625,-.26171875
.01171875,.05078125,.1015625,.20703125,-.00390625,-.0234375,-.05078125,-.1015625,.015625,.0859375,.171875,.34765625,-.015625,-.07421875,-.1484375,-.30078125
.01171875,.0625,.12109375,.2421875,-.01171875,-.0546875,-.11328125,-.22265625,.01171875,.06640625,.13671875,.2734375,-.015625,-.08203125,-.16015625,-.3203125
.015625,.06640625,.13671875,.2734375,-.015625,-.0859375,-.171875,-.34765625,.0078125,.04296875,.0859375,.171875,-.015625,-.08203125,-.16015625,-.32421875
.015625,.07421875,.14453125,.29296875,-.0234375,-.1171875,-.23046875,-.4609375,.00390625,.01171875,.02734375,.0546875,-.015625,-.078125,-.15234375,-.3046875
.015625,.07421875,.15234375,.30078125,-.02734375,-.140625,-.28125,-.5625,-.00390625,-.01953125,-.0390625,-.08203125,-.01171875,-.06640625,-.1328125,-.265625
.015625,.07421875,.1484375,.30078125,-.03125,-.16015625,-.32421875,-.64453125,-.01171875,-.0546875,-.11328125,-.22265625,-.01171875,-.05078125,-.10546875,-.2109375
.015625,.0703125,.140625,.28515625,-.03515625,-.17578125,-.34765625,-.69921875,-.01953125,-.09375,-.18359375,-.3671875,-.0078125,-.03515625,-.0703125,-.13671875
.01171875,.06640625,.12890625,.2578125,-.03515625,-.1796875,-.359375,-.76171875,-.0234375,-.125,-.25,-.50390625,-.00390625,-.01171875,-.02734375,-.05078125
.01171875,.0546875,.109375,.21875,-.03515625,-.17578125,-.3515625,-.7421875,-.03125,-.15625,-.3125,-.625,.00390625,.01171875,.01953125,.0390625
.0078125,.04296875,.0859375,.171875,-.03125,-.16015625,-.3203125,-.68359375,-.03515625,-.1796875,-.359375,-.71875,.0078125,.03125,.06640625,.1328125
.00390625,.02734375,.05859375,.11328125,-.02734375,-.13671875,-.2734375,-.58203125,-.0390625,-.1953125,-.390625,-.78125,.01171875,.0546875,.109375,.21875
.00390625,.01171875,.0234375,.05078125,-.01953125,-.1015625,-.20703125,-.4375,-.0390625,-.203125,-.40234375,-.8046875,.015625,.07421875,.1484375,.29296875
0,-.00390625,-.0078125,-.01953125,-.01171875,-.0625,-.12109375,-.26171875,-.0390625,-.1953125,-.390625,-.78125,.01953125,.08984375,.17578125,.3515625
-.00390625,-.0234375,-.04296875,-.08984375,-.00390625,-.01171875,-.0234375,-.0546875,-.03515625,-.1796875,-.35546875,-.71484375,.01953125,.09765625,.1953125,.390625
-.0078125,-.0390625,-.078125,-.15625,.0078125,.0390625,.08203125,.171875,-.03125,-.15234375,-.30078125,-.6015625,.01953125,.1015625,.203125,.41015625
-.01171875,-.0546875,-.109375,-.22265625,.01953125,.09375,.19140625,.40234375,-.0234375,-.11328125,-.22265625,-.44921875,.01953125,.1015625,.19921875,.3984375
-.015625,-.0703125,-.140625,-.27734375,.03125,.1484375,.296875,.6328125,-.01171875,-.06640625,-.12890625,-.2578125,.01953125,.09375,.18359375,.3671875
-.015625,-.08203125,-.16015625,-.32421875,.0390625,.19921875,.39453125,.84375,-.00390625,-.01171875,-.01953125,-.0390625,.015625,.078125,.15625,.30859375
-.01953125,-.08984375,-.1796875,-.359375,.046875,.2421875,.48046875,1.01953125,.0078125,.046875,.09765625,.1953125,.01171875,.05859375,.1171875,.234375
-.01953125,-.09375,-.1875,-.37890625,.0546875,.2734375,.546875,1.15625,.0234375,.109375,.21484375,.43359375,.0078125,.03515625,.07421875,.14453125
-.01953125,-.09765625,-.19140625,-.38671875,.05859375,.29296875,.5859375,1.24609375,.03125,.1640625,.328125,.66015625,.00390625,.01171875,.0234375,.046875
-.01953125,-.09375,-.1875,-.375,.05859375,.296875,.59765625,1.26953125,.04296875,.21484375,.4296875,.86328125,-.00390625,-.015625,-.02734375,-.05859375
-.01953125,-.08984375,-.17578125,-.3515625,.05859375,.2890625,.578125,1.23046875,.05078125,.2578125,.515625,1.03125,-.0078125,-.0390625,-.078125,-.15625
-.015625,-.078125,-.15625,-.31640625,.0546875,.265625,.52734375,1.125,.05859375,.2890625,.57421875,1.1484375,-.01171875,-.0625,-.12109375,-.2421875
-.01171875,-.06640625,-.1328125,-.265625,.04296875,.22265625,.44921875,.953125,.05859375,.30078125,.6015625,1.20703125,-.015625,-.078125,-.15625,-.31640625
-.01171875,-.05078125,-.10546875,-.20703125,.03515625,.171875,.33984375,.7265625,.05859375,.30078125,.6015625,1.203125,-.01953125,-.09375,-.18359375,-.3671875
-.0078125,-.03515625,-.0703125,-.140625,.01953125,.10546875,.2109375,.44921875,.0546875,.28125,.5625,1.12890625,-.01953125,-.09765625,-.19921875,-.3984375
-.00390625,-.01953125,-.03515625,-.0703125,.0078125,.03125,.0625,.1328125,.05078125,.24609375,.4921875,.98828125,-.01953125,-.1015625,-.19921875,-.40234375
0,0,0,0,-.01171875,-.046875,-.09765625,-.20703125,.0390625,.1953125,.39453125,.7890625,-.01953125,-.09765625,-.19140625,-.3828125
.00390625,.015625,.03515625,.0703125,-.02734375,-.12890625,-.2578125,-.55078125,.02734375,.1328125,.265625,.53515625,-.015625,-.0859375,-.171875,-.33984375
.0078125,.03515625,.06640625,.13671875,-.04296875,-.20703125,-.4140625,-.87890625,.01171875,.05859375,.12109375,.23828125,-.015625,-.0703125,-.140625,-.27734375
.01171875,.046875,.09765625,.1953125,-.0546875,-.27734375,-.5546875,-1.1796875,-.00390625,-.01953125,-.0390625,-.08203125,-.01171875,-.05078125,-.1015625,-.19921875
.01171875,.0625,.12109375,.2421875,-.06640625,-.3359375,-.671875,-1.43359375,-.01953125,-.1015625,-.203125,-.40625,-.00390625,-.02734375,-.0546875,-.11328125
.015625,.0703125,.140625,.28125,-.078125,-.3828125,-.76171875,-1.6171875,-.03515625,-.1796875,-.359375,-.72265625,0,-.00390625,-.01171875,-.01953125
.015625,.078125,.15234375,.30859375,-.08203125,-.40625,-.81640625,-1.734375,-.05078125,-.25390625,-.50390625,-1.0078125,.00390625,.015625,.03515625,.06640625
.015625,.08203125,.16015625,.3203125,-.08203125,-.4140625,-.828125,-1.765625,-.0625,-.3125,-.62109375,-1.2421875,.0078125,.0390625,.07421875,.1484375
.015625,.08203125,.16015625,.3203125,-.08203125,-.40234375,-.80078125,-1.703125,-.0703125,-.35546875,-.70703125,-1.41796875,.01171875,.0546875,.109375,.21875
.015625,.078125,.15625,.3125,-.07421875,-.3671875,-.734375,-1.5546875,-.07421875,-.37890625,-.7578125,-1.515625,.01171875,.06640625,.13671875,.26953125
.015625,.07421875,.14453125,.2890625,-.0625,-.3125,-.625,-1.328125,-.078125,-.3828125,-.765625,-1.53125,.015625,.07421875,.15234375,.30078125
.01171875,.06640625,.12890625,.2578125,-.046875,-.2421875,-.48046875,-1.01953125,-.07421875,-.3671875,-.73046875,-1.4609375,.015625,.078125,.15625,.3125
.01171875,.0546875,.109375,.234375,-.03125,-.1640625,-.328125,-.6953125,-.06640625,-.34765625,-.69140625,-1.38671875,.015625,.07421875,.15234375,.3203125
.0078125,.04296875,.0859375,.1875,-.01171875,-.0625,-.125,-.26171875,-.0546875,-.28515625,-.5703125,-1.13671875,.015625,.0703125,.13671875,.29296875
.0078125,.03125,.0625,.1328125,.0078125,.046875,.08984375,.19921875,-.0390625,-.203125,-.41015625,-.81640625,.01171875,.05859375,.1171875,.24609375
.00390625,.01953125,.0390625,.08203125,.03125,.15234375,.3125,.66015625,-.01953125,-.11328125,-.22265625,-.44921875,.0078125,.04296875,.08984375,.1875
0,.0078125,.015625,.02734375,.05078125,.2578125,.51953125,1.09765625,-.00390625,-.01171875,-.01953125,-.046875,.00390625,.02734375,.05859375,.12109375
0,-.00390625,-.0078125,-.015625,.06640625,.3515625,.70703125,1.49609375,.015625,.08984375,.18359375,.37109375,.00390625,.01171875,.0234375,.05078125
-.00390625,-.015625,-.02734375,-.0625,.08203125,.43359375,.86328125,1.828125,.03515625,.19140625,.3828125,.76953125,0,-.00390625,-.0078125,-.015625
-.00390625,-.0234375,-.046875,-.09765625,.09375,.48828125,.98046875,2.07421875,.0546875,.28125,.56640625,1.12890625,-.00390625,-.01953125,-.03515625,-.07421875
-.0078125,-.03125,-.0625,-.12890625,.09765625,.5234375,1.05078125,2.21875,.06640625,.35546875,.71484375,1.43359375,-.0078125,-.03125,-.05859375,-.12890625
-.0078125,-.03515625,-.0703125,-.15234375,.1015625,.53515625,1.06640625,2.26171875,.078125,.4140625,.82421875,1.65234375,-.0078125,-.0390625,-.078125,-.1640625
-.0078125,-.0390625,-.078125,-.1640625,.09765625,.51953125,1.0390625,2.19140625,.08203125,.44921875,.88671875,1.78125,-.0078125,-.04296875,-.08984375,-.1875
-.0078125,-.04296875,-.08203125,-.17578125,.08984375,.4765625,.94921875,2.01171875,.0859375,.453125,.90625,1.80859375,-.0078125,-.046875,-.09375,-.1953125
-.0078125,-.04296875,-.08203125,-.17578125,.078125,.40625,.81640625,1.7265625,.08203125,.43359375,.86328125,1.73046875,-.0078125,-.04296875,-.08984375,-.19140625
-.0078125,-.0390625,-.08203125,-.171875,.05859375,.3203125,.640625,1.359375,.07421875,.390625,.7734375,1.546875,-.0078125,-.0390625,-.078125,-.171875
-.0078125,-.0390625,-.07421875,-.15625,.0390625,.21484375,.42578125,.91015625,.05859375,.3203125,.640625,1.27734375,-.0078125,-.03515625,-.06640625,-.140625
-.0078125,-.03515625,-.06640625,-.14453125,.01953125,.09375,.1953125,.41015625,.04296875,.234375,.46484375,.92578125,-.00390625,-.0234375,-.05078125,-.109375
-.0078125,-.03125,-.05859375,-.12890625,-.00390625,-.02734375,-.0546875,-.11328125,.0234375,.12890625,.26171875,.51953125,-.00390625,-.015625,-.03125,-.06640625
-.00390625,-.0234375,-.05078125,-.109375,-.02734375,-.1484375,-.3046875,-.640625,.00390625,.01953125,.04296875,.078125,0,-.0078125,-.01171875,-.0234375
-.00390625,-.01953125,-.0390625,-.0859375,-.05078125,-.26953125,-.5390625,-1.140625,-.015625,-.08984375,-.18359375,-.37109375,0,.00390625,.00390625,.01171875
-.00390625,-.015625,-.03125,-.06640625,-.0703125,-.375,-.75,-1.58984375,-.0390625,-.19921875,-.3984375,-.796875,.00390625,.01171875,.01953125,.04296875
-.00390625,-.01171875,-.0234375,-.05078125,-.0859375,-.46484375,-.9296875,-1.96484375,-.0546875,-.29296875,-.58984375,-1.17578125,.00390625,.015625,.03125,.06640625
0,-.0078125,-.015625,-.02734375,-.1015625,-.53125,-1.0625,-2.25,-.0703125,-.375,-.7421875,-1.48828125,.00390625,.01953125,.0390625,.08203125
0,-.00390625,-.0078125,-.015625,-.109375,-.57421875,-1.14453125,-2.42578125,-.08203125,-.42578125,-.85546875,-1.71484375,.00390625,.01953125,.04296875,.0859375
0,0,0,-.00390625,-.109375,-.5859375,-1.171875,-2.484375,-.0859375,-.4609375,-.91796875,-1.8359375,.00390625,.01953125,.04296875,.0859375
