Time,F1,F2,F1 + F2
0,0,1,0
0.0001,0.218143241396542,0.951056516295153,0.109071620698271
0.0002,0.425779291565073,0.809016994374947,0.212889645782536
0.0003,0.612907053652976,0.587785252292473,0.306453526826488
0.0004,0.770513242775789,0.309016994374947,0.385256621387895
0.0005,0.891006524188368,6.12323399573677E-17,0.445503262094184
0.0006,0.968583161128631,-0.309016994374947,0.484291580564316
0.0007,0.999506560365731,-0.587785252292473,0.499753280182866
0.0008,0.982287250728689,-0.809016994374948,0.491143625364344
0.0009,0.917754625683981,-0.951056516295154,0.458877312841991
0.001,0.809016994374947,-1,0.404508497187474
0.0011,0.661311865323652,-0.951056516295153,0.330655932661826
0.0012,0.481753674101715,-0.809016994374947,0.240876837050857
0.0013,0.278991106039229,-0.587785252292473,0.139495553019614
0.0014,0.0627905195293127,-0.309016994374947,0.0313952597646563
0.0015,-0.156434465040232,7.04481399828022E-16,-0.0782172325201158
0.0016,-0.368124552684679,0.309016994374948,-0.184062276342339
0.0017,-0.562083377852131,0.587785252292474,-0.281041688926066
0.0018,-0.728968627421412,0.809016994374948,-0.364484313710706
0.0019,-0.860742027003944,0.951056516295154,-0.430371013501972
0.002,-0.951056516295154,1,-0.475528258147577
0.0021,-0.99556196460308,0.951056516295153,-0.49778098230154
0.0022,-0.992114701314478,0.809016994374947,-0.496057350657239
0.0023,-0.940880768954226,0.587785252292474,-0.470440384477113
0.0024,-0.844327925502016,0.309016994374949,-0.422163962751008
0.0025,-0.707106781186548,2.08251853918709E-15,-0.353553390593274
0.0026,-0.535826794978999,-0.309016994374945,-0.267913397489499
0.0027,-0.338737920245294,-0.58778525229247,-0.169368960122647
0.0028,-0.125333233564307,-0.809016994374945,-0.0626666167821537
0.0029,0.0941083133185109,-0.951056516295152,0.0470541566592554
0.003,0.309016994374944,-1,0.154508497187472
0.0031,0.509041415750368,-0.951056516295155,0.254520707875184
0.0032,0.684547105928685,-0.809016994374951,0.342273552964343
0.0033,0.827080574274559,-0.587785252292478,0.41354028713728
0.0034,0.92977648588825,-0.309016994374955,0.464888242944125
0.0035,0.987688340595137,-7.53405373730257E-15,0.493844170297568
0.0036,0.998026728428272,0.30901699437494,0.499013364214136
0.0037,0.960293685676945,0.587785252292466,0.480146842838473
0.0038,0.876306680043867,0.809016994374942,0.438153340021933
0.0039,0.750111069630465,0.951056516295151,0.375055534815232
0.004,0.587785252292479,1,0.29389262614624
0.0041,0.397147890634787,0.951056516295156,0.198573945317393
0.0042,0.187381314585731,0.809016994374952,0.0936906572928655
0.0043,-0.0314107590781242,0.587785252292479,-0.0157053795390621
0.0044,-0.248689887164851,0.309016994374953,-0.124344943582426
0.0045,-0.453990499739544,5.88016157781706E-15,-0.226995249869772
0.0046,-0.637423989748688,-0.309016994374943,-0.318711994874344
0.0047,-0.790155012375689,-0.58778525229247,-0.395077506187845
0.0048,-0.904827052466019,-0.809016994374946,-0.452413526233009
0.0049,-0.975916761938747,-0.951056516295153,-0.487958380969374
0.005,-1,-1,-0.5
0.0051,-0.975916761938747,-0.951056516295153,-0.487958380969374
0.0052,-0.904827052466019,-0.809016994374948,-0.45241352623301
0.0053,-0.79015501237569,-0.587785252292472,-0.395077506187845
0.0054,-0.637423989748688,-0.309016994374945,-0.318711994874344
0.0055,-0.453990499739545,1.10280109986921E-15,-0.226995249869772
0.0056,-0.248689887164852,0.30901699437495,-0.124344943582426
0.0057,-0.031410759078125,0.587785252292477,-0.0157053795390625
0.0058,0.187381314585728,0.809016994374951,0.0936906572928642
0.0059,0.397147890634785,0.951056516295155,0.198573945317392
0.006,0.587785252292477,1,0.293892626146238
0.0061,0.750111069630463,0.951056516295151,0.375055534815231
0.0062,0.876306680043866,0.809016994374942,0.438153340021933
0.0063,0.960293685676945,0.587785252292467,0.480146842838472
0.0064,0.998026728428272,0.309016994374938,0.499013364214136
0.0065,0.987688340595136,-1.1638477456356E-14,0.493844170297568
0.0066,0.929776485888248,-0.309016994374957,0.464888242944124
0.0067,0.827080574274557,-0.587785252292483,0.413540287137278
0.0068,0.684547105928682,-0.809016994374955,0.342273552964341
0.00690000000000001,0.509041415750363,-0.951056516295158,0.254520707875182
0.00700000000000001,0.309016994374938,-1,0.154508497187469
0.00710000000000001,0.0941083133185038,-0.951056516295149,0.0470541566592519
0.00720000000000001,-0.125333233564315,-0.809016994374937,-0.0626666167821576
0.00730000000000001,-0.338737920245301,-0.587785252292458,-0.16936896012265
0.00740000000000001,-0.535826794979005,-0.309016994374931,-0.267913397489503
0.00750000000000001,-0.707106781186555,1.86214401340422E-14,-0.353553390593278
0.00760000000000001,-0.844327925502021,0.309016994374967,-0.422163962751011
0.00770000000000001,-0.94088076895423,0.587785252292488,-0.470440384477115
0.00780000000000001,-0.99211470131448,0.809016994374959,-0.49605735065724
0.00790000000000001,-0.995561964603078,0.95105651629516,-0.497780982301539
0.00800000000000001,-0.951056516295149,1,-0.475528258147575
0.00810000000000001,-0.860742027003938,0.951056516295148,-0.430371013501969
0.00820000000000001,-0.728968627421404,0.809016994374938,-0.364484313710702
0.0083,-0.562083377852124,0.587785252292461,-0.281041688926062
0.0084,-0.36812455268467,0.309016994374935,-0.184062276342335
0.0085,-0.156434465040225,-1.13935480965265E-14,-0.0782172325201127
0.0086,0.0627905195293194,-0.309016994374957,0.0313952597646597
0.0087,0.278991106039232,-0.587785252292479,0.139495553019616
0.0088,0.481753674101718,-0.809016994374951,0.240876837050859
0.0089,0.661311865323652,-0.951056516295154,0.330655932661826
0.009,0.809016994374948,-1,0.404508497187474
0.0091,0.91775462568398,-0.951056516295154,0.45887731284199
0.0092,0.982287250728688,-0.80901699437495,0.491143625364344
0.0093,0.999506560365732,-0.587785252292478,0.499753280182866
0.0094,0.968583161128632,-0.309016994374955,0.484291580564316
0.0095,0.891006524188371,-1.00451986561912E-14,0.445503262094185
0.0096,0.770513242775793,0.309016994374936,0.385256621387897
0.0097,0.612907053652984,0.587785252292462,0.306453526826492
0.0098,0.425779291565084,0.809016994374938,0.212889645782542
0.0099,0.218143241396554,0.951056516295148,0.109071620698277
0.01,1.50681074746052E-14,1,7.53405373730257E-15
0.0101,-0.218143241396528,0.95105651629516,-0.109071620698264
0.0102,-0.425779291565057,0.809016994374963,-0.212889645782528
0.0103,-0.612907053652963,0.587785252292493,-0.306453526826481
0.0104,-0.770513242775776,0.309016994374976,-0.385256621387888
0.0105,-0.891006524188359,2.79312317301085E-14,-0.44550326209418
0.0106,-0.968583161128625,-0.309016994374916,-0.484291580564313
0.0107,-0.999506560365731,-0.587785252292448,-0.499753280182865
0.0108,-0.982287250728693,-0.809016994374926,-0.491143625364347
0.0109,-0.917754625683991,-0.951056516295143,-0.458877312841995
0.011,-0.809016994374964,-1,-0.404508497187482
0.0111,-0.661311865323672,-0.951056516295166,-0.330655932661836
0.0112,-0.481753674101742,-0.809016994374973,-0.240876837050871
0.0113,-0.278991106039258,-0.587785252292507,-0.139495553019629
0.0114,-0.0627905195293459,-0.309016994374993,-0.0313952597646729
0.0115,0.156434465040196,-4.58172648040257E-14,0.0782172325200978
0.0116,0.368124552684645,0.309016994374899,0.184062276342323
0.0117,0.562083377852099,0.587785252292433,0.281041688926049
0.0118,0.728968627421386,0.809016994374915,0.364484313710693
0.0119,0.860742027003923,0.951056516295137,0.430371013501962
0.012,0.951056516295141,1,0.475528258147571
0.0121,0.995561964603076,0.951056516295171,0.497780982301538
0.0122,0.992114701314483,0.809016994374984,0.496057350657242
0.0123,0.940880768954241,0.587785252292522,0.47044038447712
0.0124,0.844327925502039,0.30901699437501,0.42216396275102
0.0125,0.707106781186582,6.3703297877943E-14,0.353553390593291
0.0126,0.535826794979037,-0.309016994374882,0.267913397489518
0.0127,0.338737920245339,-0.587785252292413,0.16936896012267
0.0128,0.125333233564354,-0.809016994374905,0.062666616782177
0.0129,-0.0941083133184614,-0.951056516295129,-0.0470541566592307
0.013,-0.309016994374894,-1,-0.154508497187447
0.0131,-0.509041415750323,-0.951056516295179,-0.254520707875162
0.0132,-0.684547105928646,-0.809016994374994,-0.342273552964323
0.0133,-0.827080574274529,-0.587785252292542,-0.413540287137265
0.0134,-0.929776485888229,-0.309016994375027,-0.464888242944114
0.0135,-0.987688340595128,-8.86947583094612E-14,-0.493844170297564
0.0136,-0.998026728428276,0.309016994374865,-0.499013364214138
0.0137,-0.960293685676961,0.587785252292399,-0.48014684283848
0.0138,-0.876306680043895,0.809016994374894,-0.438153340021948
0.0139,-0.750111069630503,0.951056516295124,-0.375055534815251
0.014,-0.587785252292529,1,-0.293892626146264
0.0141,-0.397147890634843,0.951056516295184,-0.198573945317422
0.0142,-0.187381314585795,0.809016994375005,-0.0936906572928973
0.0143,0.0314107590780576,0.587785252292557,0.0157053795390288
0.0144,0.248689887164783,0.309016994375044,0.124344943582392
0.0145,0.453990499739482,1.06580791383378E-13,0.226995249869741
0.0146,0.637423989748634,-0.309016994374848,0.318711994874317
0.0147,0.790155012375644,-0.587785252292384,0.395077506187822
0.0148,0.904827052465986,-0.809016994374884,0.452413526232993
0.0149,0.97591676193873,-0.951056516295119,0.487958380969365
0.015,1,-1,0.5
0.0151,0.975916761938765,-0.95105651629519,0.487958380969382
0.0152,0.904827052466055,-0.809016994375019,0.452413526233028
0.0153,0.790155012375744,-0.587785252292571,0.395077506187872
0.0154,0.637423989748759,-0.309016994375067,0.318711994874379
0.0155,0.453990499739623,-1.24466824457296E-13,0.226995249869812
0.0156,0.248689887164941,0.309016994374824,0.12434494358247
0.0157,0.03141075907822,0.58778525229237,0.01570537953911
0.0158,-0.187381314585632,0.809016994374869,-0.0936906572928157
0.0159,-0.397147890634697,0.951056516295113,-0.198573945317349
0.016,-0.587785252292397,1,-0.293892626146199
0.0161,-0.750111069630395,0.951056516295195,-0.375055534815198
0.0162,-0.876306680043816,0.80901699437503,-0.438153340021908
0.0163,-0.960293685676916,0.587785252292585,-0.480146842838458
0.0164,-0.998026728428265,0.309016994375084,-0.499013364214133
0.0165,-0.987688340595154,1.42352857531213E-13,-0.493844170297577
0.0166,-0.92977648588829,-0.309016994374807,-0.464888242944145
0.0167,-0.827080574274623,-0.587785252292355,-0.413540287137311
0.0168,-0.684547105928764,-0.809016994374858,-0.342273552964382
0.0169,-0.509041415750463,-0.951056516295107,-0.254520707875232
0.017,-0.309016994375052,-1,-0.154508497187526
0.0171,-0.0941083133186267,-0.951056516295201,-0.0470541566593133
0.0172,0.125333233564196,-0.809016994375041,0.0626666167820982
0.0173,0.338737920245186,-0.5877852522926,0.169368960122593
0.0174,0.5358267949789,-0.309016994375101,0.26791339748945
0.0175,0.707106781186464,-1.67344317962731E-13,0.353553390593232
0.0175999999999999,0.844327925501954,0.30901699437479,0.422163962750977
0.0177,0.940880768954186,0.587785252292335,0.470440384477093
0.0177999999999999,0.992114701314463,0.809016994374848,0.496057350657231
0.0178999999999999,0.995561964603091,0.9510565162951,0.497780982301546
0.0179999999999999,0.95105651629519,1,0.475528258147595
0.0180999999999999,0.860742027004006,0.951056516295209,0.430371013502003
0.0181999999999999,0.728968627421497,0.809016994375051,0.364484313710748
0.0182999999999999,0.562083377852236,0.58778525229262,0.281041688926118
0.0183999999999999,0.3681245526848,0.309016994375118,0.1840622763424
0.0184999999999999,0.156434465040356,1.85230351036648E-13,0.0782172325201781
0.0185999999999999,-0.0627905195291838,-0.309016994374773,-0.0313952597645919
0.0186999999999999,-0.278991106039102,-0.58778525229232,-0.139495553019551
0.0187999999999999,-0.481753674101596,-0.809016994374837,-0.240876837050798
0.0188999999999999,-0.661311865323553,-0.951056516295094,-0.330655932661776
0.0189999999999999,-0.809016994374868,-1,-0.404508497187434
